"symbol_name","symbol_module","symbol_filename","input_section","symbol_size","symbol_address","symbol_physical_memory","symbol_out_section","symbol_output_section","symbol_realtime","symbol_access_count","symbol_hw_usage","symbol_folder_name_for_file"
"symbol_51","module_9","file_68.c","bss",1609,"0x8caf8749","ext_memory2","ext_memory2_data","ro_after_write","Low",81,"No","open_core/middle"
"symbol_52","module_2","file_11.c","code",170,"0x847f1628","sysram","sysram_code","always_power_on","Low",27,"Yes","core/rlm"
"symbol_53","module_8","file_78.c","data",1611,"0x895bd542","dlm","dlm_data","ro_after_write","Low",83,"Yes","open_base/hal"
"symbol_54","module_16","file_45.c","code",1216,"0x8f5b9549","dlm","dlm_code","init","Low",14,"Yes","core/middle"
"symbol_55","module_3","file_37.c","code",1528,"0x8d942445","sysram","sysram_code","init","Low",61,"No","open_base/prj_ram"
"symbol_56","module_10","file_64.c","bss",369,"0x878815f1","ilm","ilm_data","always_power_on","High",36,"Yes","core/mlm"
"symbol_57","module_14","file_24.c","code",1457,"0x80fabfae","ilm","ilm_code","ro_after_write","High",82,"No","open_core/rlm"
"symbol_58","module_14","file_25.c","code",25,"0x8a536230","sysram","sysram_code","always_power_on","Medium",40,"No","open_base/hal"
"symbol_59","module_14","file_64.c","code",864,"0x8e32956f","dlm","dlm_code","ro_after_write","Low",99,"No","open_base/prj_ram"
"symbol_60","module_4","file_27.c","bss",1087,"0x83d2de3c","ilm","ilm_data","code","Low",74,"No","open_core/middle"
"symbol_61","module_12","file_58.c","code",2047,"0x867d22ef","sysram","sysram_code","data","Low",94,"No","custom/system"
"symbol_62","module_9","file_66.c","bss",1604,"0x801436f1","ilm","ilm_data","data","Low",73,"No","custom/system"
"symbol_63","module_11","file_59.c","bss",109,"0x8e696513","sysram","sysram_data","always_power_on","High",90,"Yes","core/middle"
"symbol_64","module_11","file_30.c","bss",610,"0x894e2791","ext_memory1","ext_memory1_data","always_power_on","Medium",6,"No","open_base/prj_ram"
"symbol_65","module_15","file_26.c","bss",1408,"0x8079dc24","ext_memory2","ext_memory2_data","ro_after_write","Low",28,"Yes","open_core/middle"
"symbol_66","module_15","file_12.c","data",973,"0x89006266","sysram","sysram_data","always_power_on","Low",100,"No","open_core/system"
"symbol_67","module_10","file_41.c","code",584,"0x8b6bc05b","dlm","dlm_code","data","Low",41,"Yes","open_base/exthal"
"symbol_68","module_1","file_9.c","data",1803,"0x88fca9a1","sysram","sysram_data","ro_after_write","Low",75,"No","open_base/prj_ram"
"symbol_69","module_5","file_38.c","code",970,"0x8c1b4b17","dlm","dlm_code","code","Low",46,"No","core/mlm"
"symbol_70","module_4","file_77.c","code",1168,"0x891ebbdc","ilm","ilm_code","code","Low",9,"No","base/hal"
"symbol_71","module_13","file_67.c","code",1323,"0x8221b97b","ilm","ilm_code","ro_after_write","Low",86,"No","open_base/prj_ram"
"symbol_72","module_1","file_21.c","code",1881,"0x8b0d77e1","sysram","sysram_code","always_power_on","Low",17,"No","open_core/rlm"
"symbol_73","module_16","file_20.c","data",113,"0x87c855ab","ext_memory1","ext_memory1_data","data","Low",83,"No","open_core/middle"
"symbol_74","module_15","file_63.c","data",1768,"0x81c41601","dlm","dlm_data","init","High",36,"Yes","base/exthal"
"symbol_75","module_7","file_5.c","bss",1227,"0x8677471d","sysram","sysram_data","data","Low",38,"No","core/system"
"symbol_76","module_9","file_39.c","code",923,"0x8e433ae7","dlm","dlm_code","code","Low",94,"No","customer"
"symbol_77","module_8","file_59.c","bss",213,"0x8637f125","sysram","sysram_data","always_power_on","Low",52,"No","open_base/hal"
"symbol_78","module_13","file_24.c","data",1136,"0x8df05eae","dlm","dlm_data","ro_after_write","High",6,"Yes","open_core/mlm"
"symbol_79","module_14","file_51.c","data",166,"0x8170209e","ext_memory2","ext_memory2_data","init","High",96,"Yes","core/rlm"
"symbol_80","module_13","file_13.c","code",1485,"0x85cd0637","dlm","dlm_code","always_power_on","Medium",94,"No","open_base/hal"
"symbol_81","module_2","file_5.c","data",466,"0x8037c7dd","ilm","ilm_data","code","Low",24,"Yes","base/hal"
"symbol_82","module_3","file_64.c","bss",1603,"0x8436210c","dlm","dlm_data","data","Low",23,"Yes","open_base/exthal"
"symbol_83","module_11","file_26.c","code",1797,"0x8c7ce09b","dlm","dlm_code","ro_after_write","Medium",45,"No","open_core/middle"
"symbol_84","module_14","file_42.c","code",1062,"0x8cbc8dcc","ilm","ilm_code","init","Medium",34,"No","core/rlm"
"symbol_85","module_16","file_9.c","data",903,"0x88b94134","ilm","ilm_data","data","Medium",96,"No","core/middle"
"symbol_86","module_15","file_69.c","data",1679,"0x8c0e9c67","sysram","sysram_data","init","Low",7,"No","core/middle"
"symbol_87","module_3","file_44.c","bss",313,"0x81016017","ilm","ilm_data","code","Medium",42,"Yes","core/rlm"
"symbol_88","module_7","file_8.c","bss",868,"0x879385a3","dlm","dlm_data","always_power_on","Low",12,"Yes","base/hal"
"symbol_89","module_1","file_73.c","bss",1429,"0x83e64c1a","ilm","ilm_data","init","Low",49,"No","open_base/hal"
"symbol_90","module_14","file_67.c","data",811,"0x8e74a496","ilm","ilm_data","init","Medium",35,"Yes","open_base/hal"
"symbol_91","module_9","file_47.c","code",190,"0x88dee741","ilm","ilm_code","code","High",49,"No","open_core/system"
"symbol_92","module_16","file_5.c","data",992,"0x8022a996","ilm","ilm_data","always_power_on","Medium",85,"No","customer"
"symbol_93","module_7","file_73.c","data",1074,"0x8a5946e8","ilm","ilm_data","code","Low",48,"Yes","core/system"
"symbol_94","module_1","file_72.c","data",255,"0x81070cd3","sysram","sysram_data","init","Medium",56,"Yes","core/system"
"symbol_95","module_7","file_31.c","code",1322,"0x878105a0","ilm","ilm_code","always_power_on","Low",56,"Yes","customer"
"symbol_96","module_7","file_19.c","data",1536,"0x8e604e00","dlm","dlm_data","always_power_on","Low",24,"No","base/exthal"
"symbol_97","module_11","file_10.c","code",505,"0x8bc01b2e","ilm","ilm_code","ro_after_write","Low",27,"Yes","base/exthal"
"symbol_98","module_6","file_27.c","code",534,"0x8fe46434","dlm","dlm_code","data","Medium",74,"Yes","open_core/mlm"
"symbol_99","module_13","file_63.c","code",1728,"0x8450dcbf","ilm","ilm_code","init","Medium",66,"Yes","core/rlm"
"symbol_100","module_11","file_77.c","code",1492,"0x82a9b7bc","ilm","ilm_code","code","Low",51,"No","core/middle"
"symbol_101","module_9","file_17.c","data",867,"0x87a03b4d","dlm","dlm_data","always_power_on","Medium",9,"No","open_core/middle"
"symbol_102","module_12","file_54.c","data",592,"0x89411ed3","ilm","ilm_data","data","Low",72,"Yes","open_base/hal"
"symbol_103","module_10","file_36.c","bss",1391,"0x8637e5f4","dlm","dlm_data","init","Medium",56,"Yes","base/prj_ram"
"symbol_104","module_15","file_5.c","bss",1326,"0x8ebd0d87","ilm","ilm_data","init","Low",59,"No","core/rlm"
"symbol_105","module_2","file_11.c","bss",1368,"0x83c85af0","ext_memory2","ext_memory2_data","code","Low",79,"No","base/exthal"
"symbol_106","module_1","file_14.c","bss",1290,"0x89517943","sysram","sysram_data","ro_after_write","Medium",69,"No","core/middle"
"symbol_107","module_3","file_12.c","code",987,"0x8813fde0","ilm","ilm_code","code","Low",70,"Yes","open_base/hal"
"symbol_108","module_11","file_56.c","code",962,"0x8e1eedf4","sysram","sysram_code","init","Low",41,"Yes","core/rlm"
"symbol_109","module_6","file_1.c","data",1234,"0x8209d619","ilm","ilm_data","data","Low",11,"Yes","open_core/mlm"
"symbol_110","module_8","file_52.c","bss",885,"0x863688ca","dlm","dlm_data","data","Low",11,"Yes","open_core/mlm"
"symbol_111","module_9","file_50.c","data",1846,"0x89b16f4d","sysram","sysram_data","code","Low",82,"No","base/hal"
"symbol_112","module_8","file_31.c","bss",2025,"0x89b17fb0","ilm","ilm_data","data","Low",11,"Yes","open_core/rlm"
"symbol_113","module_1","file_55.c","bss",1731,"0x8fbf3ed8","ilm","ilm_data","code","Medium",97,"Yes","base/exthal"
"symbol_114","module_10","file_68.c","bss",799,"0x8c8e163b","ext_memory1","ext_memory1_data","data","Medium",94,"Yes","open_core/system"
"symbol_115","module_16","file_8.c","code",377,"0x807eafff","dlm","dlm_code","data","Low",0,"No","open_core/middle"
"symbol_116","module_5","file_38.c","bss",675,"0x83122a01","sysram","sysram_data","init","Low",6,"No","open_base/exthal"
"symbol_117","module_3","file_74.c","bss",384,"0x8c884359","dlm","dlm_data","ro_after_write","Low",71,"No","core/mlm"
"symbol_118","module_14","file_42.c","code",191,"0x806d5a06","ext_memory2","ext_memory2_code","init","Medium",94,"Yes","core/mlm"
"symbol_119","module_6","file_72.c","bss",1504,"0x817147df","sysram","sysram_data","ro_after_write","High",70,"Yes","open_core/rlm"
"symbol_120","module_12","file_75.c","code",815,"0x81a80601","sysram","sysram_code","data","Medium",51,"No","custom/system"
"symbol_121","module_5","file_30.c","data",841,"0x85609966","dlm","dlm_data","always_power_on","High",64,"No","base/hal"
"symbol_122","module_5","file_52.c","data",2013,"0x8060981a","sysram","sysram_data","code","Low",70,"No","open_core/system"
"symbol_123","module_16","file_24.c","code",1758,"0x8338521a","ext_memory2","ext_memory2_code","code","High",11,"Yes","open_core/mlm"
"symbol_124","module_9","file_2.c","data",2014,"0x8b57f263","dlm","dlm_data","always_power_on","Medium",15,"No","core/middle"
"symbol_125","module_11","file_29.c","bss",78,"0x889dacce","ilm","ilm_data","ro_after_write","Medium",89,"No","open_base/prj_ram"
"symbol_126","module_14","file_57.c","code",1214,"0x814239aa","sysram","sysram_code","code","High",29,"Yes","core/mlm"
"symbol_127","module_3","file_34.c","bss",2000,"0x8eaaa9c6","sysram","sysram_data","init","Medium",55,"Yes","base/exthal"
"symbol_128","module_11","file_78.c","code",575,"0x80b6ed44","sysram","sysram_code","code","Low",26,"Yes","base/hal"
"symbol_129","module_1","file_43.c","bss",88,"0x80620403","sysram","sysram_data","data","Low",80,"Yes","core/mlm"
"symbol_130","module_2","file_70.c","code",1506,"0x8a3e8c8d","ilm","ilm_code","code","High",40,"No","open_core/system"
"symbol_131","module_10","file_65.c","bss",1860,"0x80ed610b","ilm","ilm_data","always_power_on","Medium",7,"Yes","core/rlm"
"symbol_132","module_11","file_22.c","code",369,"0x8567120c","ilm","ilm_code","data","High",5,"Yes","customer"
"symbol_133","module_13","file_52.c","data",1926,"0x8dbaa761","ext_memory1","ext_memory1_data","init","Medium",7,"No","open_core/rlm"
"symbol_134","module_4","file_21.c","data",668,"0x867145d4","ilm","ilm_data","ro_after_write","Low",31,"No","core/middle"
"symbol_135","module_16","file_53.c","data",474,"0x8e236c9d","ilm","ilm_data","ro_after_write","Low",74,"Yes","core/mlm"
"symbol_136","module_13","file_22.c","code",574,"0x8f94647f","sysram","sysram_code","ro_after_write","Low",96,"No","open_core/system"
"symbol_137","module_5","file_41.c","data",312,"0x86e989a4","dlm","dlm_data","init","Low",28,"No","base/exthal"
"symbol_138","module_7","file_20.c","bss",366,"0x8756fe8d","sysram","sysram_data","code","Low",30,"No","custom/system"
"symbol_139","module_14","file_55.c","code",1923,"0x880c1aa3","ilm","ilm_code","ro_after_write","Low",69,"No","open_base/hal"
"symbol_140","module_4","file_58.c","bss",79,"0x8920761c","sysram","sysram_data","code","Low",71,"No","core/rlm"
"symbol_141","module_9","file_51.c","bss",1855,"0x8fc4171d","ilm","ilm_data","data","Low",1,"No","core/rlm"
"symbol_142","module_13","file_73.c","code",133,"0x8fd4b460","ilm","ilm_code","ro_after_write","Low",25,"No","base/exthal"
"symbol_143","module_10","file_1.c","data",472,"0x8cf4e4cc","sysram","sysram_data","data","High",25,"Yes","core/mlm"
"symbol_144","module_4","file_78.c","bss",129,"0x82a54eba","dlm","dlm_data","code","Low",62,"Yes","open_base/hal"
"symbol_145","module_8","file_37.c","data",1043,"0x806b3940","dlm","dlm_data","code","Medium",19,"Yes","base/exthal"
"symbol_146","module_16","file_46.c","data",1219,"0x8d707621","sysram","sysram_data","code","High",92,"No","open_base/hal"
"symbol_147","module_16","file_16.c","data",697,"0x8f6879de","dlm","dlm_data","always_power_on","Low",57,"No","base/hal"
"symbol_148","module_16","file_25.c","bss",981,"0x8f48830e","ext_memory2","ext_memory2_data","init","Low",23,"No","base/exthal"
"symbol_149","module_3","file_80.c","data",334,"0x81ec1e2a","dlm","dlm_data","always_power_on","Medium",20,"No","core/mlm"
"symbol_150","module_9","file_58.c","code",1428,"0x8d424719","ilm","ilm_code","data","Low",83,"No","open_core/system"
"symbol_151","module_2","file_43.c","data",2042,"0x86825295","dlm","dlm_data","always_power_on","Low",85,"Yes","core/middle"
"symbol_152","module_1","file_64.c","bss",1053,"0x848a4fbd","dlm","dlm_data","always_power_on","High",99,"No","base/prj_ram"
"symbol_153","module_7","file_5.c","data",88,"0x80cd67ae","dlm","dlm_data","always_power_on","Low",23,"No","open_base/prj_ram"
"symbol_154","module_12","file_35.c","code",273,"0x86146961","dlm","dlm_code","code","High",30,"Yes","open_core/rlm"
"symbol_155","module_11","file_69.c","bss",1585,"0x8d4d537b","ilm","ilm_data","code","High",25,"No","base/prj_ram"
"symbol_156","module_3","file_47.c","bss",1854,"0x88ae1557","sysram","sysram_data","code","High",24,"No","open_core/system"
"symbol_157","module_11","file_44.c","data",1425,"0x83ce925b","ilm","ilm_data","code","Low",79,"No","open_base/hal"
"symbol_158","module_12","file_11.c","bss",1556,"0x810dfc4c","ilm","ilm_data","init","Low",37,"No","open_base/prj_ram"
"symbol_159","module_14","file_6.c","data",45,"0x87cb0dac","sysram","sysram_data","always_power_on","Medium",29,"No","custom/system"
"symbol_160","module_11","file_53.c","bss",1037,"0x8bdb7374","ilm","ilm_data","ro_after_write","Low",98,"No","base/prj_ram"
"symbol_161","module_7","file_12.c","data",58,"0x84589204","sysram","sysram_data","init","Medium",88,"Yes","core/mlm"
"symbol_162","module_5","file_26.c","code",1244,"0x8849889b","ext_memory1","ext_memory1_code","always_power_on","Medium",79,"Yes","open_core/system"
"symbol_163","module_3","file_26.c","data",740,"0x89bbec61","ilm","ilm_data","code","High",92,"No","open_core/system"
"symbol_164","module_4","file_22.c","data",673,"0x846ad199","dlm","dlm_data","always_power_on","Medium",39,"No","core/middle"
"symbol_165","module_7","file_74.c","bss",1487,"0x8f25fb8f","sysram","sysram_data","ro_after_write","Medium",32,"No","custom/system"
"symbol_166","module_8","file_56.c","bss",1669,"0x8b0d21fc","ilm","ilm_data","ro_after_write","Low",99,"No","base/prj_ram"
"symbol_167","module_15","file_28.c","data",1101,"0x8c0ea0bf","dlm","dlm_data","code","Low",47,"No","customer"
"symbol_168","module_2","file_18.c","code",1417,"0x84eeaffd","sysram","sysram_code","always_power_on","Low",33,"Yes","open_core/mlm"
"symbol_169","module_8","file_32.c","data",1955,"0x872c856e","sysram","sysram_data","init","Low",76,"No","open_core/mlm"
"symbol_170","module_8","file_68.c","code",1233,"0x876205c7","ext_memory1","ext_memory1_code","ro_after_write","High",68,"No","base/prj_ram"
"symbol_171","module_9","file_10.c","data",1869,"0x879b2cc1","dlm","dlm_data","always_power_on","Low",10,"No","customer"
"symbol_172","module_12","file_71.c","bss",402,"0x83ae52a5","dlm","dlm_data","code","Low",31,"Yes","open_base/exthal"
"symbol_173","module_15","file_25.c","code",1279,"0x8860a6d4","ext_memory2","ext_memory2_code","data","Medium",4,"Yes","core/rlm"
"symbol_174","module_8","file_66.c","code",1190,"0x82706209","dlm","dlm_code","always_power_on","Medium",55,"No","open_base/hal"
"symbol_175","module_8","file_38.c","data",1830,"0x88c845c9","dlm","dlm_data","init","Medium",32,"No","open_core/middle"
"symbol_177","module_11","file_48.c","code",1537,"0x88e92c5b","ext_memory2","ext_memory2_code","init","Medium",90,"No","customer"
"symbol_178","module_12","file_49.c","data",1306,"0x8c0d845e","dlm","dlm_data","always_power_on","Medium",48,"No","open_base/hal"
"symbol_179","module_16","file_63.c","code",1470,"0x822cfea9","ext_memory2","ext_memory2_code","always_power_on","Medium",44,"Yes","open_base/prj_ram"
"symbol_181","module_2","file_38.c","bss",783,"0x8f18a2ee","ext_memory1","ext_memory1_data","data","Medium",36,"No","custom/system"
"symbol_182","module_2","file_6.c","code",824,"0x83f3c3eb","dlm","dlm_code","init","Medium",31,"Yes","open_core/system"
"symbol_184","module_9","file_40.c","code",1572,"0x85a5afc3","dlm","dlm_code","always_power_on","Medium",33,"No","custom/system"
"symbol_185","module_9","file_77.c","data",722,"0x8f7d3bb0","sysram","sysram_data","code","Low",47,"No","open_base/exthal"
"symbol_186","module_6","file_72.c","bss",1553,"0x87cc299e","ext_memory2","ext_memory2_data","ro_after_write","Low",21,"No","open_base/hal"
"symbol_187","module_15","file_47.c","data",998,"0x899c2cb8","dlm","dlm_data","code","High",47,"Yes","custom/system"
"symbol_188","module_6","file_14.c","data",1584,"0x8b855697","dlm","dlm_data","data","Low",15,"No","open_core/rlm"
"symbol_189","module_14","file_45.c","bss",437,"0x88076a54","dlm","dlm_data","init","Low",64,"No","open_base/exthal"
"symbol_190","module_10","file_39.c","bss",845,"0x81741b66","sysram","sysram_data","code","High",14,"Yes","open_core/rlm"
"symbol_191","module_10","file_21.c","bss",1915,"0x88412c83","dlm","dlm_data","always_power_on","Low",84,"Yes","open_core/mlm"
"symbol_192","module_8","file_10.c","code",287,"0x8226c77e","ext_memory1","ext_memory1_code","data","High",38,"Yes","customer"
"symbol_194","module_15","file_44.c","bss",17,"0x8d5e6350","ext_memory2","ext_memory2_data","always_power_on","Medium",84,"No","open_core/mlm"
"symbol_195","module_12","file_73.c","data",840,"0x843abb24","ext_memory1","ext_memory1_data","data","Medium",16,"No","open_core/middle"
"symbol_196","module_11","file_57.c","code",215,"0x81aca341","dlm","dlm_code","always_power_on","Low",0,"Yes","base/exthal"
"symbol_197","module_12","file_1.c","data",1080,"0x8dc0f370","dlm","dlm_data","data","Low",54,"No","open_core/mlm"
"symbol_198","module_16","file_71.c","code",194,"0x8cb92807","ilm","ilm_code","init","Medium",59,"No","core/rlm"
"symbol_199","module_1","file_28.c","data",1833,"0x83d66511","sysram","sysram_data","code","Medium",35,"Yes","core/mlm"
"symbol_202","module_7","file_11.c","code",257,"0x8628e378","ext_memory2","ext_memory2_code","ro_after_write","Low",6,"Yes","open_core/rlm"
"symbol_205","module_2","file_9.c","bss",1177,"0x815bffc2","dlm","dlm_data","always_power_on","Low",33,"No","open_base/exthal"
"symbol_206","module_6","file_60.c","bss",1806,"0x8cc4ddc8","sysram","sysram_data","ro_after_write","Low",66,"No","base/exthal"
"symbol_209","module_4","file_32.c","code",323,"0x881679bb","dlm","dlm_code","data","Low",58,"No","open_base/exthal"
"symbol_210","module_3","file_6.c","data",45,"0x88e25eed","sysram","sysram_data","always_power_on","Low",72,"Yes","base/exthal"
"symbol_213","module_6","file_54.c","bss",96,"0x8f83aa97","dlm","dlm_data","data","Low",2,"No","open_base/prj_ram"
"symbol_214","module_16","file_2.c","bss",1979,"0x8ab6af0d","sysram","sysram_data","code","High",41,"Yes","core/middle"
"symbol_217","module_1","file_10.c","code",1048,"0x87262a15","sysram","sysram_code","always_power_on","High",57,"Yes","open_core/middle"
"symbol_218","module_13","file_63.c","code",892,"0x8566c07d","sysram","sysram_code","init","Low",95,"No","open_core/mlm"
"symbol_219","module_9","file_23.c","bss",89,"0x898fb6d8","ilm","ilm_data","always_power_on","Medium",94,"Yes","open_core/middle"
"symbol_220","module_1","file_48.c","data",1417,"0x8a3c106b","sysram","sysram_data","ro_after_write","Low",30,"Yes","open_base/exthal"
"symbol_221","module_13","file_36.c","data",747,"0x8da3d02d","dlm","dlm_data","init","Low",81,"Yes","open_core/middle"
"symbol_223","module_11","file_24.c","code",2021,"0x8813063e","sysram","sysram_code","ro_after_write","Medium",67,"Yes","base/exthal"
"symbol_226","module_5","file_63.c","data",1260,"0x8bbdbc8e","sysram","sysram_data","ro_after_write","Low",72,"Yes","open_core/middle"
"symbol_228","module_5","file_28.c","bss",151,"0x8a227118","dlm","dlm_data","data","Low",1,"No","open_base/exthal"
"symbol_235","module_13","file_19.c","data",1774,"0x81480727","sysram","sysram_data","init","High",44,"Yes","open_core/middle"
"symbol_236","module_8","file_62.c","code",133,"0x830080f9","dlm","dlm_code","init","High",37,"Yes","core/system"
"symbol_239","module_1","file_63.c","code",1542,"0x84ef5f92","sysram","sysram_code","init","High",56,"No","open_core/middle"
"symbol_241","module_8","file_39.c","bss",154,"0x8542a2b6","ext_memory2","ext_memory2_data","init","Low",48,"Yes","core/mlm"
"symbol_242","module_16","file_47.c","code",138,"0x87ed95cb","sysram","sysram_code","ro_after_write","High",53,"Yes","core/mlm"
"symbol_247","module_15","file_52.c","code",505,"0x8e1847bc","sysram","sysram_code","always_power_on","High",4,"Yes","open_base/prj_ram"
"symbol_250","module_14","file_44.c","bss",1383,"0x8f1ebcca","sysram","sysram_data","code","Low",39,"Yes","open_base/hal"
"symbol_251","module_9","file_45.c","bss",58,"0x842aace4","dlm","dlm_data","init","Low",35,"No","open_core/rlm"
"symbol_253","module_6","file_25.c","data",1344,"0x83199eae","ext_memory1","ext_memory1_data","data","Medium",53,"Yes","core/rlm"
"symbol_259","module_4","file_48.c","data",1576,"0x80de3529","sysram","sysram_data","code","Low",27,"No","core/middle"
"symbol_266","module_16","file_45.c","bss",1326,"0x820317d3","sysram","sysram_data","data","Low",21,"Yes","core/mlm"
